Model,Feature_Set,Split,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Tuning_Method,Best_Params,Best_Param_Notes
Logistic Regression,W100_O0,80/20,0.5554803788903924,0.5654961336335614,0.5434550242300105,0.5445514054411329,0.9174849798974062,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W100_O0,70/30,0.5598917211820438,0.5647346972962588,0.5501177772409177,0.5489411396459788,0.919607446793043,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W100_O50,80/20,0.5700966265468723,0.5719703138722242,0.5599353880424222,0.5577337688240999,0.9199834243870998,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W100_O50,70/30,0.5739631596790598,0.5753530091409871,0.5625114887318818,0.5614864262718231,0.9202177841429697,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W200_O0,80/20,0.6145479265805575,0.6107844870530758,0.5957095768274352,0.5965296791124655,0.9346986798093307,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W200_O0,70/30,0.6162211146352514,0.6148208076717558,0.6018669868687831,0.6026027996677237,0.931457213625869,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W200_O50,80/20,0.5955631399317406,0.6054604684284541,0.5839718895487208,0.586693737671588,0.9287933796903861,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W200_O50,70/30,0.6015927189988624,0.6152940932544891,0.59304878382728,0.5928024450969452,0.9323197965708995,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W300_O0,80/20,0.6038894575230297,0.6175064311613891,0.5915707688497905,0.5948106348973896,0.9375408712700952,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W300_O0,70/30,0.6095563139931741,0.6180412515455666,0.6006869265823388,0.6058901698782052,0.9410903609880119,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W300_O50,80/20,0.628026790314271,0.6334596132291623,0.6271466631926682,0.6232686260772137,0.9470119899913031,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W300_O50,70/30,0.6270604395604396,0.6322513199904367,0.62331356703976,0.6222407438507953,0.9439442872434847,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W400_O0,80/20,0.6323731138545954,0.6520700253481645,0.6228566147076533,0.6238709064054281,0.9497222499975543,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W400_O0,70/30,0.6416819012797075,0.645762107453306,0.6373682536897249,0.6323697468931339,0.9500844736110121,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W400_O50,80/20,0.6664359861591695,0.6674381773710597,0.6536705792149499,0.6563983660201871,0.9529662967551981,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W400_O50,70/30,0.6559040590405905,0.6580772615434953,0.6434582224334225,0.646957237210592,0.951212123526252,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W500_O0,80/20,0.6134020618556701,0.6341123920944018,0.619698817812563,0.622606075824148,0.9495448228897164,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W500_O0,70/30,0.6116838487972509,0.6253451794297828,0.6120475864209415,0.6106200069298,0.9518553071921004,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W500_O50,80/20,0.6449086161879896,0.6404761386979174,0.6240937973455868,0.6258392946309344,0.9511683165450051,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Logistic Regression,W500_O50,70/30,0.6525522041763341,0.6504648734229603,0.6339790257656776,0.6361474944349728,0.9522969834792104,GridSearchCV,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}","Tested C in [0.01, 0.1, 1, 10, 100], penalty in ['l1', 'l2'], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W100_O0,80/20,0.618064952638701,0.6157310222970495,0.6091387707820193,0.6099163041677035,0.884425888793709,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W100_O0,70/30,0.6205729754116851,0.6169518094739107,0.6064566104630544,0.6074150085490381,0.8784057641622905,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W100_O50,80/20,0.6838447194439735,0.6749211934631506,0.6747654318435727,0.6745901894481754,0.8253759613824151,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W100_O50,70/30,0.6728443891965193,0.6625661201019486,0.6591561025674423,0.6603760283395135,0.8270610016199972,GridSearchCV,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W200_O0,80/20,0.628823929299796,0.6130479849803984,0.6112867236529993,0.6105651519349378,0.8319635035812826,GridSearchCV,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W200_O0,70/30,0.6302673312188491,0.6262169090887167,0.620327165782416,0.6224468629002028,0.8286534069025234,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W200_O50,80/20,0.6802047781569965,0.6663976580548269,0.6618722133675561,0.6632637845077036,0.8166150771487225,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W200_O50,70/30,0.6837315130830489,0.6723191164639594,0.667505971962609,0.6692339900600723,0.8178316119563692,GridSearchCV,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W300_O0,80/20,0.6202661207778914,0.6388138624742005,0.6098764630389941,0.6126183209317495,0.8713582198141568,GridSearchCV,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W300_O0,70/30,0.6430034129692833,0.6355399074621301,0.6323760528362972,0.6321955100158647,0.849762383891268,GridSearchCV,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W300_O50,80/20,0.7181865018031942,0.7113707391473411,0.71270474382283,0.7117306377655397,0.8463771207853452,GridSearchCV,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W300_O50,70/30,0.7053571428571429,0.7053533469105551,0.6992753659061942,0.7013126385141938,0.8347856689357624,GridSearchCV,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W400_O0,80/20,0.607681755829904,0.6166928776817553,0.6005059655891603,0.6034287235809583,0.8490842768471292,GridSearchCV,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W400_O0,70/30,0.6243144424131627,0.6165891655210466,0.6152581385417379,0.6131920704051482,0.8407536627367102,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W400_O50,80/20,0.7342560553633218,0.7217721229656069,0.7186822223876824,0.719392706347143,0.8606124903989376,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W400_O50,70/30,0.716789667896679,0.698275639018352,0.700119552832679,0.6986546581192907,0.8358050366657896,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O0,80/20,0.6168384879725086,0.6133304071265889,0.614158959519792,0.609192639435871,0.8499003954372936,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O0,70/30,0.6197021764032073,0.6283572505752028,0.6071810536450135,0.6009505464887914,0.8779374688903168,GridSearchCV,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O50,80/20,0.7380330722367275,0.717084428961381,0.7181691668357143,0.7172914455882877,0.8459494175210388,GridSearchCV,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O50,70/30,0.7215777262180975,0.7007316559811262,0.699591657426074,0.6983612153669678,0.841563337564979,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
